5504,5507,5517,5520,5531,5532,5534,5542,5545,5547,5548,5549,5551,5554,5555,5557,5561,5563,5564,5567,5568,5572,5574,5575,5576,5577,5579,5586,5587,5591,5595,5598,5599,5601,5603,5607,5609,5610,5611,5950,5953,5958,5965,6685,6701,6761,6781,6798,6813,6826,6841,6859,6871,6877,6880,9802,9852,9857,9877,9897,9928,9969,9993,9999,10019,10038,10079,10097,10167,10279,10286,10326,10331,10432,10452,10458,10507,10581,12017,17286,20034,20443,20491,20495,30160,30163
0,5540,11820,35655,3678,6855,10753,6098,18574,6469,28602,24574,2913,27454,48379,18625,28877,45860,36704,34775,26546,91386,141811,76436,72880,42423,27994,41411,42850,70927,31435,32334,35625,60969,31266,25423,13237,37224,54599,68256,76279,42649,57684,33573,34612,80741,81437,80945,91004,100876,94978,89499,132260,130399,122005,131169,55139,57015,11340,28542,77546,40416,49251,25610,31440,36519,117068,163920,157226,3978,43947,41656,34528,91784,32088,47309,36266,58194,69546,13379,49162,52063,83250,79852,87561,78223
5540,0,15007,39022,8550,2056,9115,11418,15410,6015,34118,28944,7752,30390,47532,18361,31206,45078,33810,30440,23420,85864,136271,71164,68023,37178,22462,36210,37661,66187,27845,27281,30817,62106,32028,26659,15819,37077,55221,66653,75728,41092,56443,38194,39338,77042,77742,76652,89040,97567,90800,85941,130199,128333,121296,129052,60478,62083,5839,25330,76837,35322,54728,21873,25951,38542,113938,161881,155381,6196,38712,47013,39959,86259,32792,47479,31210,53590,69161,7985,54590,46666,79735,76137,82428,74686
11820,15007,0,24063,13536,14656,22527,13078,17680,9711,27182,14523,13312,15653,39550,11425,17126,37000,32445,34555,23895,96110,147211,78849,73227,45441,34218,50288,51752,80866,42753,41748,45549,71074,42098,36028,23373,48557,65249,80028,87655,54437,69382,37712,38293,92020,92719,91608,102817,112416,105783,100884,144076,142215,133403,142988,54662,58268,18955,40062,89001,42733,47460,36812,38982,24839,128698,175732,169015,15709,46851,35153,28996,96572,42946,58365,45631,57847,80845,19955,48011,55802,94662,91117,96434,89619
35655,39022,24063,0,36531,38461,46403,34945,36048,33379,33578,13298,36548,8990,34877,26145,10354,32918,41108,49098,37890,113253,164570,93175,84566,62662,55580,73058,74513,104147,66816,65042,69084,90300,63502,57351,45091,70688,85673,103120,109411,77721,92214,49836,49605,116064,116764,115372,126138,136468,129615,124944,167397,165545,154985,166364,55810,62312,42342,64106,110966,59368,47136,60870,61084,10421,152713,198988,192068,39339,63809,27211,26177,113793,64364,79741,68826,69159,102463,42840,48879,73137,118724,115159,118648,113681
3678,8550,13536,36531,0,10204,10563,3044,22249,10072,25849,24635,811,28785,51502,21779,30611,48969,40333,38410,30209,94219,144425,79713,76402,45722,30821,43167,44582,71973,31614,33940,36903,58026,28648,22648,10117,35021,51903,66736,74118,41231,55979,29944,31010,80726,81417,81485,89661,100497,95379,89346,130931,129075,119867,129878,51941,53572,14354,28471,75469,43818,46316,26017,33833,38355,116525,162553,155737,3588,47254,39981,32679,94603,29489,44866,37845,61789,67311,16536,46108,55200,83072,79853,89102,78076
6855,2056,14656,38461,10204,0,10897,12925,13363,5087,35390,28928,9393,29699,45700,16785,30280,43261,31760,28473,21367,84649,135205,69588,66217,35578,21336,35898,37358,66234,28674,27163,30897,64069,33978,28665,17869,38885,57124,68084,77410,42581,57984,40039,41153,77691,78393,76984,90347,98378,91188,86649,131456,129589,122923,130291,61992,63773,4734,26345,78484,33619,56077,22684,25204,37470,114815,163137,156698,8169,37104,47691,40754,85055,34734,49322,31069,51697,70882,6568,56012,45215,80467,76778,82126,75413
10753,9115,22527,46403,10563,10897,0,13222,23855,14888,34720,35030,10257,38179,56597,27454,39456,54156,42040,37027,31646,86941,136352,74418,72855,41070,24592,33759,35119,61634,21053,24438,26909,53373,23283,18346,10322,27989,46283,57829,66624,32215,47467,34540,35935,70228,70921,70935,80424,90186,84816,78905,121654,119791,112219,120543,58983,59317,11528,17957,67751,39883,54349,15484,26032,47002,106336,153326,146710,7198,42608,50146,42739,87273,24008,38428,28233,59214,60046,13688,53771,49486,72642,69349,79178,67630
6098,11418,13078,34945,3044,12925,13222,0,24224,11915,22822,22592,3753,27617,52072,22586,29767,49526,41982,40736,32052,97209,147455,82512,78955,48503,33800,46175,47586,74805,34186,36931,39826,57997,29186,23064,10423,35960,52219,68174,74973,42822,57288,27683,28658,83118,83806,84130,91209,102679,97958,91659,132461,130610,120701,131438,49080,50923,17254,30946,76405,46514,43337,28705,36874,37542,118602,164044,157132,6567,50030,37052,29714,97596,30042,45502,40828,64212,68104,19382,43173,58078,85378,82254,92058,80403
18574,15410,17680,36048,22249,13363,23855,24224,0,12309,44193,30917,21486,27205,33634,9905,26034,31340,18403,17080,8042,78898,130158,61174,55806,27992,19845,38068,39479,69420,37465,31279,35760,77228,47133,41975,31102,51539,70076,78888,89365,53897,69379,51895,52824,84243,84943,81699,100386,105655,96060,93436,141076,139209,134509,139819,71630,74479,12848,36082,90270,25139,64801,31803,25713,31503,122373,172680,166593,21216,29352,52626,46659,79384,47863,62063,34663,40608,83036,11420,65171,38470,87461,83301,82816,82434
6469,6015,9711,33379,10072,5087,14888,11915,12309,0,32849,24158,9352,24612,42291,12694,25255,39796,30261,28980,20180,87835,138676,71780,67470,37862,25038,40599,42062,71167,33711,32040,35876,67043,37122,31458,19597,42612,60439,72621,81458,47037,62343,39590,40536,82775,83476,82037,95049,103430,96254,91725,136213,134347,127090,135067,60014,62449,9247,31294,82616,35539,53609,27723,29472,32538,119845,167895,161385,9821,39348,43752,37063,88267,37919,52903,35919,52528,74830,10396,53761,47899,85539,81863,86778,80486
28602,34118,27182,33578,25849,35390,34720,22822,44193,32849,0,21769,26575,31608,63314,38457,35339,60874,59540,61273,51007,119983,170275,104625,99995,70669,56576,68455,69826,95593,54092,59138,61559,60205,39038,33832,26308,46928,57351,79816,82370,56842,68611,16881,16336,100749,101406,103504,102879,118580,116739,108631,143314,141519,126670,142518,27499,31411,39941,50516,84300,68389,20762,49412,59664,41617,133566,174287,166735,29204,72167,18370,11526,120377,39800,53444,62952,84771,75396,41955,20981,80545,102382,99959,113744,97624
24574,28944,14523,13298,24635,28928,35030,22592,30917,24158,21769,0,24816,9904,42027,22065,13710,39667,41793,46773,35440,109816,161065,91546,84694,58891,48668,64753,66216,95118,55978,56092,59751,77001,50454,44328,32332,57789,72417,90509,96306,65332,79497,37168,37105,105247,105941,105479,113628,125132,119543,113934,154837,152992,141808,153845,46994,52396,33394,52983,97905,55943,38764,50182,53505,19903,141143,186360,179324,27832,60227,22342,17859,110301,51314,66621,59998,69130,89340,34473,39998,69385,107667,104365,110934,102659
